"","pathway","mean_cov","min_cov","max_cov","normalized_cov","metabolism","site_m","depth_m","relative_auto","percentage"
"139","3HP Bicycle",400.612682091294,0,1212.19459730601,0.0404080415260487,"chemoautotrophy","4500",3000,0.357921581690997,4.04080415260487
"140","3HP/4HB or DC/4HB",183.968894288576,0,551.906682865729,0.018556134271905,"chemoautotrophy","4500",3000,0.164364336350953,1.8556134271905
"141","CBB",529.540813006398,157.29677610667,901.784849906127,0.0534124557664999,"chemoautotrophy","4500",3000,0.473110547503822,5.34124557664999
"142","WL",0,0,0,0,"chemoautotrophy","4500",3000,0,0
"143","rTCA",5.1526210744122,0,25.763105372061,0.000519722254562561,"chemoautotrophy","4500",3000,0.00460353445422805,0.0519722254562561
"144","total",NA,NA,NA,0.112896353819016,NA,"4500",3000,NA,11.2896353819016
"145","3HP Bicycle",644.017000988513,0,2019.81618012757,0.0617969579154388,"chemoautotrophy","4500",4000,0.415376663263326,6.17969579154388
"146","3HP/4HB or DC/4HB",361.650699691167,0,1084.9520990735,0.0347023650534074,"chemoautotrophy","4500",4000,0.233256669736958,3.47023650534074
"147","CBB",534.648674399913,194.941182033292,874.356166766535,0.0513024680726183,"chemoautotrophy","4500",4000,0.344836521473068,5.13024680726183
"148","WL",0,0,0,0,"chemoautotrophy","4500",4000,0,0
"149","rTCA",10.1246052319115,0,50.6230261595576,0.000971511314866713,"chemoautotrophy","4500",4000,0.0065301455266471,0.0971511314866713
"150","total",NA,NA,NA,0.148773302356331,NA,"4500",4000,NA,14.8773302356331
"151","3HP Bicycle",193.228675935029,0,688.39972955661,0.0310501138825001,"chemoautotrophy","500",50,0.18454593367358,3.10501138825001
"152","3HP/4HB or DC/4HB",230.652613713917,0,691.957841141752,0.0370638047818613,"chemoautotrophy","500",50,0.220288224540745,3.70638047818613
"153","CBB",623.167930502424,553.125760516798,693.21010048805,0.100137493135482,"chemoautotrophy","500",50,0.595165841785675,10.0137493135482
"154","WL",0,0,0,0,"chemoautotrophy","500",50,0,0
"155","rTCA",0,0,0,0,"chemoautotrophy","500",50,0,0
"156","total",NA,NA,NA,0.168251411799843,NA,"500",50,NA,16.8251411799843
"157","3HP Bicycle",353.487395682747,0,1254.81478256304,0.0584105928312688,"chemoautotrophy","500",150,0.232684546156574,5.84105928312688
"158","3HP/4HB or DC/4HB",268.078014080378,0,804.234042241135,0.0442974655354264,"chemoautotrophy","500",150,0.17646346603213,4.42974655354264
"159","CBB",897.604649106554,712.457756582687,1082.75154163042,0.148321044322248,"chemoautotrophy","500",150,0.590851987811296,14.8321044322248
"160","WL",0,0,0,0,"chemoautotrophy","500",150,0,0
"161","rTCA",0,0,0,0,"chemoautotrophy","500",150,0,0
"162","total",NA,NA,NA,0.251029102688943,NA,"500",150,NA,25.1029102688943
"163","3HP Bicycle",258.933391501008,0,1264.44748741499,0.0695015412318523,"chemoautotrophy","500",500,0.295535699546832,6.95015412318523
"164","3HP/4HB or DC/4HB",66.4571223133847,0,199.371366940154,0.0178380717907369,"chemoautotrophy","500",500,0.0758513686431172,1.78380717907369
"165","CBB",550.758770004957,440.584415378668,660.933124631247,0.147831776892147,"chemoautotrophy","500",500,0.628612931810051,14.7831776892147
"166","WL",0,0,0,0,"chemoautotrophy","500",500,0,0
"167","rTCA",0,0,0,0,"chemoautotrophy","500",500,0,0
"168","total",NA,NA,NA,0.235171389914736,NA,"500",500,NA,23.5171389914736
